id,project_id,document_id,page_number,field_type,original_text,corrected_text,confidence,corrections,user_validated,created_at,updated_at,field_coordinates
001163bd-c11a-4b62-b39a-5ed617140a0c,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,72,sheet_name,project info :,project info :,85.00,[],false,2025-10-02 16:39:25.052192+00,2025-10-02 16:39:25.052192+00,
00b6a2e1-3d30-4828-867e-95b8f0017426,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,80,sheet_name,"Miami-Dade County Stamps, Reviews, ApprovaIs, & Inspections","Miami-Dade County Stamps, Reviews, ApprovaIs, & Inspections",85.00,[],false,2025-10-03 12:40:48.190815+00,2025-10-03 12:40:48.190815+00,
00b6e06a-e01c-4995-81c2-6e5a767aa8f4,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,27,sheet_name,"EnIarged PIans - Guestr0m ""Type DoubIe Queen - E""","EnIarged PIans - Guestr0m ""Type DoubIe Queen - E""",85.00,[],false,2025-10-01 18:34:39.634837+00,2025-10-01 18:34:39.634837+00,
01221491-6926-4147-b1ae-ad436ace23bb,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,52,sheet_number,sheet numpoer . AB.II,sheet numpoer . AB.II,85.00,[],false,2025-10-03 12:40:25.315497+00,2025-10-03 12:40:25.315497+00,
015500d0-c870-4934-9efd-b53dc711376e,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,51,sheet_name,sh ScheduIe,sh ScheduIe,85.00,[],false,2025-10-01 18:40:52.415242+00,2025-10-01 18:40:52.415242+00,
01bb20cf-35cf-41fd-9a20-1419f0f84512,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,4,sheet_name,Zoning TabuIations - Code AnaIysis,Zoning TabuIations - Code AnaIysis,85.00,[],false,2025-10-02 16:50:39.936791+00,2025-10-02 16:50:39.936791+00,
0294dc29-6ce9-4996-94fd-fc670c52dcf6,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,20,sheet_name,"EnIarged PIans - Guestr0m ""Type King-C- Acce5ibIe""","EnIarged PIans - Guestr0m ""Type King-C- Acce5ibIe""",85.00,[],false,2025-10-03 12:39:57.803884+00,2025-10-03 12:39:57.803884+00,
036be362-b76d-4fe0-bb6e-bdd5666383f1,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,21,sheet_number,- A4.O3a,- A4.O3a,85.00,[],false,2025-10-02 16:50:56.140763+00,2025-10-02 16:50:56.140763+00,
03e1da2a-f13f-46fa-a0e2-2c146111460e,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,42,sheet_name,EnIarged FI0r PIans & Section - Stairs No. I,EnIarged FI0r PIans & Section - Stairs No. I,85.00,[],false,2025-10-03 12:40:15.498387+00,2025-10-03 12:40:15.498387+00,
04796f0f-ae07-4f99-b313-0c5c2bb9e0e7,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,69,sheet_name,"(Required Vendor) DaItiIe Nancy Bums, TeI: 4O4.GGI.TIII","(Required Vendor) DaItiIe Nancy Bums, TeI: 4O4.GGI.TIII",85.00,[],false,2025-10-03 12:40:42.102613+00,2025-10-03 12:40:42.102613+00,
051d0336-d42a-4ab4-88a0-12ebba1260c4,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,77,sheet_name,project info :,project info :,85.00,[],false,2025-10-02 16:39:27.762801+00,2025-10-02 16:39:27.762801+00,
059674c6-84b3-470f-af52-f8e4c7802d6d,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,34,sheet_name,"EnIarged Fumiture, Fixture PIan - Ground FI0r - Fast Side","EnIarged Fumiture, Fixture PIan - Ground FI0r - Fast Side",85.00,[],false,2025-10-02 16:51:06.155326+00,2025-10-02 16:51:06.155326+00,
05e73d28-c0e6-4702-8547-28e1bf7371d3,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,22,sheet_name,"EnIarged PIans - Guestr0m ""DoubIe Queen - A""","EnIarged PIans - Guestr0m ""DoubIe Queen - A""",85.00,[],false,2025-10-01 18:34:35.578789+00,2025-10-01 18:34:35.578789+00,
06a17417-501e-4e1a-9426-5f77dcade433,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,3,sheet_name,GeneraI Notes,GeneraI Notes,85.00,[],false,2025-10-03 12:39:42.431777+00,2025-10-03 12:39:42.431777+00,
06dba253-e911-476b-8ca6-9263df8f3013,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,35,sheet_name,EnIarged FI0r PIan - Ground FI0r - West Side,EnIarged FI0r PIan - Ground FI0r - West Side,85.00,[],false,2025-10-02 16:51:06.867385+00,2025-10-02 16:51:06.867385+00,
07bfcb1e-9181-4cb6-abc2-542d9ddefb26,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,2,sheet_number,~ AO.OI,~ AO.OI,85.00,[],false,2025-10-01 18:40:07.479172+00,2025-10-01 18:40:07.479172+00,
08505b72-4d16-4faa-9a41-4f8f92c7e154,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,24,sheet_name,"EnIarged PIans - Guestr0m ""Type DoubIe Queen -C- Acce5ibIe""","EnIarged PIans - Guestr0m ""Type DoubIe Queen -C- Acce5ibIe""",85.00,[],false,2025-10-01 18:34:37.184981+00,2025-10-01 18:34:37.184981+00,
09ab6a3d-9e3c-4572-a6e0-0691470639e2,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,13,sheet_name,OveraII R0f PIan,OveraII R0f PIan,85.00,[],false,2025-10-02 16:50:48.593855+00,2025-10-02 16:50:48.593855+00,
09b3239d-bfe0-4c8f-b0ff-89877182d328,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,18,sheet_name,"EnIarged PIans - Guestr0m ""Type King - B - Acce5ibIe""","EnIarged PIans - Guestr0m ""Type King - B - Acce5ibIe""",85.00,[],false,2025-10-03 12:39:56.2144+00,2025-10-03 12:39:56.2144+00,
0aa3e0d0-01b8-473c-b8d3-b6bf4357bb0e,de929ac4-19de-4dfb-ab5a-267ab2e0a415,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,17,sheet_number,Revision History :  Rev. #1   -   Permit Response   -   05-10-2019 Rev. #2 -   Permit Response   -   08-27-2019 Rev. #3 -   Permit Response   -   09-12-2019 Rev. #4 -   Permit Response   -   10-11-2019,Revision History :  Rev. #1   -   Permit Response   -   05-10-2019 Rev. #2 -   Permit Response   -   08-27-2019 Rev. #3 -   Permit Response   -   09-12-2019 Rev. #4 -   Permit Response   -   10-11-2019,85.00,[],false,2025-10-02 16:38:13.49972+00,2025-10-02 16:38:13.49972+00,
