id,document_id,page_number,sheet_number,sheet_name,extracted_text,thumbnail,has_takeoffs,takeoff_count,is_visible,ocr_processed,titleblock_config,created_at,updated_at
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-1,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,1,~ AO.OO,COVER SHEET,,,false,0,true,false,,2025-09-24 14:22:05.565+00,2025-10-03 12:40:48.402+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-10,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,10,umber :,,,,false,0,true,false,,2025-10-01 14:13:27.107+00,2025-10-02 16:51:50.874+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-11,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,11,~~ AZ.OI,OveraII FI0r PIans,,,false,0,true,false,,2025-10-01 14:13:27.257+00,2025-10-02 16:51:51.035+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-12,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,12,,OveraII FI0r PIans - Third thru Sixth & Intermediate R0f IL eveI PIan,,,false,0,true,false,,2025-10-01 14:13:27.414+00,2025-10-02 16:51:51.197+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-13,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,13,~~ AZ.O3,OveraII R0f PIan,,,false,0,true,false,,2025-10-01 14:13:27.571+00,2025-10-02 16:51:51.347+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-14,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,14,~~ A3.OZ,OveraII RefIected CeiIing PIans - Third thru Sixth & Int. R0f  eveI,,,false,0,true,false,,2025-10-01 14:13:27.719+00,2025-10-02 16:51:51.515+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-15,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,15,~~ A3.OI,OveraII RefIected CeiIing PIans,,,false,0,true,false,,2025-10-01 14:13:27.869+00,2025-10-02 16:51:51.678+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-16,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,16,~~ A3.OZ,OveraII RefIected CeiIing PIans - Third thru Sixth & Int. R0f  eveI,,,false,0,true,false,,2025-09-25 00:53:27.824+00,2025-10-02 16:51:51.863+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-17,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,17,~~ A4.OI,"EnIarged PIans - Guestr0m ""Type King-A""",,,false,0,true,false,,2025-09-24 17:02:50.809+00,2025-10-02 16:51:52.033+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-18,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,18,~~ A4.OZ,"EnIarged PIans - Guestr0m ""Type King - B - Acce5ibIe""",,,false,0,true,false,,2025-10-01 14:13:28.337+00,2025-10-02 16:51:52.221+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-19,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,19,- A4.OZa,"EnIarged PIans - Guestr0m ""Type King - B - Acce5ibIe""",,,false,0,true,false,,2025-10-01 14:13:28.489+00,2025-10-02 16:51:52.376+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-2,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,2,,"Abbreviation, SymboIs, and Index of Drawings",,,false,0,true,false,,2025-10-01 14:13:25.795+00,2025-10-02 16:51:49.527+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-20,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,20,~ A4.O3,"EnIarged PIans - Guestr0m ""Type King-C- Acce5ibIe""",,,false,0,true,false,,2025-10-01 14:13:28.648+00,2025-10-02 16:51:52.548+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-21,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,21,- A4.O3a,"EnIarged PIans - Guestr0m ""Type King-C- Acce5ibIe""",,,false,0,true,false,,2025-10-01 14:13:28.807+00,2025-10-02 16:51:52.707+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-22,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,22,~~ A4.O4,"EnIarged PIans - Guestr0m ""DoubIe Queen - A""",,,false,0,true,false,,2025-10-01 14:13:28.957+00,2025-10-02 16:51:52.923+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-23,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,23,,"EnIarged PIans - Guestr0m ""Type DoubIe Queen - B""",,,false,0,true,false,,2025-10-01 14:13:29.116+00,2025-10-02 16:51:53.081+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-24,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,24,,"EnIarged PIans - Guestr0m ""Type DoubIe Queen -C- Acce5ibIe""",,,false,0,true,false,,2025-10-01 14:13:29.272+00,2025-10-02 16:51:53.238+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-25,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,25,- A4.OGa,"EnIarged PIans - Guestr0m ""Type DoubIe Queen -C- Acce5ibIe""",,,false,0,true,false,,2025-10-01 14:13:29.426+00,2025-10-02 16:51:53.402+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-26,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,26,,"EnIarged PIans - Guestrrom ""Type DoubIe Queen - D""",,,false,0,true,false,,2025-10-01 14:13:29.578+00,2025-10-02 16:51:53.56+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-27,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,27,~ A4.OB,"EnIarged PIans - Guestr0m ""Type DoubIe Queen - E""",,,false,0,true,false,,2025-10-01 14:13:29.731+00,2025-10-02 16:51:53.716+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-28,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,28,,Bathr0m EnIarged PIans & EIevations,,,false,0,true,false,,2025-10-01 14:13:29.872+00,2025-10-02 16:51:53.89+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-29,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,29,,TypicaI Guestr0m DetaiIs - EnIarged pIans & FIevations - Acc.,,,false,0,true,false,,2025-10-01 14:13:30.025+00,2025-10-02 16:51:54.061+00
